,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,address,chainCode,city,latitude,longitude,anchor_latitude,anchor_longitude,hasServiceFee,serviceFeeAmount(%),updateDate,tags
113,銅板炸物,nf0a,1,"['小吃', '鹹酥雞/雞排']",False,19.0,79.0,40.0,15.0,2.577,123,(△)宜蘭縣頭城鎮青雲路二段369號,nf0a,Yilan County,24.84589018,121.80877733,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
114,提莫享肉咖哩 (礁溪溫泉店),hsdi,2,"['咖哩', '日式']",False,19.0,79.0,40.0,15.0,2.645,144,(△)宜蘭縣礁溪鄉溫泉路23號,pxex,Yilan County,24.8274081,121.77472263,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 85 折""}]"
115,迎食流咖哩 (礁溪溫泉店),o0gp,3,"['咖哩', '日式']",False,19.0,79.0,40.0,15.0,2.645,1085,(△)宜蘭縣礁溪鄉溫泉路23號,n8cs,Yilan County,24.82740125,121.7747139,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $200 享 85 折""}]"
116,聚點食坊,o5n9,1,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,2.653,108,(△)宜蘭縣礁溪鄉溫泉路23號,o5n9,Yilan County,24.82743497,121.77464448,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
117,礁溪永和豆漿,p0bl,2,"['早餐', '小吃']",False,19.0,79.0,40.0,15.0,2.688,2474,(△)宜蘭縣礁溪鄉溫泉路24號,p0bl,Yilan County,24.8277067,121.774334,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
118,胖老爹美式炸雞 (宜蘭礁溪店),f0cw,2,"['歐美', '炸雞']",False,19.0,79.0,40.0,15.0,2.702,2409,(△)宜蘭縣礁溪鄉中山路二段184號,z7je,Yilan County,24.82716855,121.77411125,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""FREETEXT"", ""text"": ""點可口可樂套餐 開啟魔力食刻！""}]"
119,不如吃鍋,la4y,1,"['火鍋', '台式']",False,19.0,79.0,40.0,15.0,2.717,411,(O)宜蘭縣礁溪鄉溫泉路36號,la4y,Yilan County,24.828063,121.77410963,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
120,御園料理,k2gp,3,"['麵食', '台式']",False,19.0,79.0,40.0,15.0,2.724,53,(△) 宜蘭縣礁溪鄉中山路二段172號,k2gp,Yilan County,24.82689833,121.77385206,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
121,ㄔˇ留香 (宜蘭礁溪店),v5yl,2,"['湯品', '麵食', '台式']",False,19.0,79.0,40.0,15.0,2.74,700,(△)宜蘭縣礁溪鄉中山路二段154號,v5yl,Yilan County,24.8265668,121.7736542,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
122,礁溪木瓜牛奶,yyxj,2,['飲料'],False,19.0,79.0,40.0,15.0,2.747,24,(△)宜蘭縣礁溪鄉德陽街4號,yyxj,Yilan County,24.82629361,121.773546,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,"[{""code"": ""DEAL"", ""text"": ""滿 $100 折 $10""}]"
123,出外人甘草芭樂 (宜蘭礁溪店),r4mx,1,['甜點'],False,19.0,79.0,40.0,15.0,2.752,203,(△)宜蘭縣礁溪鄉中山路二段145號,luzv,Yilan County,24.8266987,121.773551,24.8239212930001,121.800643992,False,0,2024-11-20 08:18:33,[]
