title,uuid,disclaimerBadge,popular_uuid,opening_hous
炸魂雞排 彰化彰南店,c261b803-d55c-4585-9f40-f59ebdb93981,{'text': '<span>[本店免開統一發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：炸魂雞排彰南店)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '15:30', 'closes': '22:30'}]"
蝦𦍋早午餐豐原總店,2171f9fe-4408-56cd-9348-c35e08da7b75,{'text': '<span>[本店免開統一發票] 本店牛肉來源:澳洲/豬肉:台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：B-200226514-00014-5 / 公司名稱：蝦𦍋早午餐豐原總店)</span>'},"['ee6bc8c9-a709-492b-8bd9-f45aed663427', 'c11d6ce9-45fa-4a3f-a789-233b7a9cc9f6', '824373da-1d8e-4759-8dca-6645852789c6', 'c42b04e9-2faa-4579-87d7-9bf133ca8767', 'c0c9e90f-2723-454a-be97-7535d3371016']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Sunday', 'Monday'], 'opens': '6:40', 'closes': '13:29'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '6:40', 'closes': '13:29'}]"
大埔鐵板燒 桃園中壢店,6dcc0385-d8ee-480b-9b6f-02c05b2cd8ee,{'text': '<span>[本店免開統一發票] (公司名稱：大埔飲食店 / 統一編號：67720099)</span>'},"['9ee3762e-4e63-45b9-86a6-9799fa952da8', 'bf04ff89-6011-468a-a4b1-aceccbf9b400', '54556356-f4df-4499-b2a9-42d8b20cc4c6', 'e6a629ca-c145-4ab9-8264-78d2d23352cd', 'b4b60dab-318b-4087-bdcb-dfead18f2b8b']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '22:0'}]"
叭咘移動創廚 l 素食早餐,ea63e9c9-6544-56cc-a6ac-e306f0478156,{'text': '<span>[本店免開統一發票] (公司名稱：叭咘移動創廚)</span>'},"['933cda6d-7a3a-4f5d-b415-cfa3c86e9f10', '28fee246-1462-4a24-8d65-b3a2eee23c2b', '3b376de1-4cfd-458a-8b4e-f8a58ac2e032', '417d33c8-0c16-4777-8c3e-53c3408eea1e']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday'], 'opens': '8:30', 'closes': '19:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '8:30', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Thursday', 'Friday', 'Saturday'], 'opens': '8:30', 'closes': '19:0'}]"
真味肉圓 信義店,8d249048-c6d2-4469-b548-1a487b606617,{'text': '<span>[本店免開統一發票] 本店使用豬肉原產地（國）：台灣 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：F-20028853-00000-0)</span>'},"['219d049b-20fb-45c6-b586-700961179bb0', '32a93efc-9536-4ece-83f8-7f9e1a4b75fc', '3151d961-8400-4ed4-af13-93451eadfb11', 'e6f24150-4007-4d84-b739-f954cdee44e0', 'c097d615-291a-40e1-b7bf-13159d266fe1']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Monday', 'opens': '11:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Tuesday', 'opens': '11:0', 'closes': '21:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Wednesday', 'opens': '11:0', 'closes': '20:0'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Thursday', 'opens': '11:0', 'closes': '20:11'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Friday', 'Saturday'], 'opens': '11:0', 'closes': '20:30'}]"
雲記越式麵包坊,5f6aece2-5055-4062-9892-d2fc007f3d5d,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：F-185345223-00000-5 / 公司名稱：雲記越式麵包坊 / 統一編號：85345223)</span>'},"['14441f2a-c58c-4478-b054-eea1c97f45cb', '8f4f9fd8-91b4-47a5-a7bd-151b85bf0e00', '972329b4-9804-4165-a660-2bffe813f0f0', 'b046debf-c9fb-41eb-80dd-a77b06644b48', 'a855a42c-4cf5-4913-9e42-95974348ab67']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '7:0', 'closes': '19:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '7:0', 'closes': '19:30'}]"
岩漿火鍋 竹東明星店,c27d3ff3-0cc9-49f9-8c3f-3ac77a53a72c,{'text': '<span>[本店開立紙本發票] 本商家肉品原產地資訊標示於餐點描述中 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (食品業者登錄字號：J-154522651-00000-7 / 公司名稱：岩漿股份有限公司 / 統一編號：54522651)</span>'},[],"[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '12:0', 'closes': '21:0'}]"
清原芋圓 嘉義吳鳳北店,117d3466-4a78-4f45-842e-ae5990099d24,{'text': '<span>[本店開立紙本發票] (食品業者登錄字號：I-181315281-00000-5 / 公司名稱：清原芋圓 嘉義吳鳳北店 / 統一編號：81315281)</span>'},"['42799aa8-e98a-4a30-bfcb-359250c537e5', 'f53653be-7cd2-42f7-840b-9e70e9c2a546', '22cb4e8c-cd88-43a5-9f7c-2da8aa6ae6f5', '72b9f2d0-7729-4fcb-b36d-ab420100f61b', 'd571ead1-2dbe-4ca7-9f62-b7984c8a00e7', '69d5f29d-54e9-499e-a1b9-3c0b54a56f5f', '23d03c0c-c224-4823-a3f7-e5e331f2f4c0', 'c5a1393e-aa9c-4b09-b78f-2d5e05e0c2ee']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday'], 'opens': '10:15', 'closes': '21:45'}]"
Evie's Cafe' 伊米咖啡,4e6e4b21-22d7-5113-8ebc-f2a6ca9cfe08,{'text': '<span>[本店免開統一發票] 本商家所提供的商品沒有含有任何依法規應揭露之肉類食材 (上開肉品資訊是由我們所合作之商家合作夥伴所提供。如對上開資訊有任何疑問，請直接與商家合作夥伴聯繫) (公司名稱：伊米咖啡館 / 統一編號：40852238)</span>'},"['c299558f-d9e7-40ef-89ff-ed5554a9c554', '95ab9fbb-2a52-45ea-984f-55022da3842c', '4126ea25-ac51-4eb8-9925-6e0d15052091', '95e7e79f-76e5-4e51-9c74-2625059b0258']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '9:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday'], 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Friday', 'opens': '12:0', 'closes': '17:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Saturday', 'opens': '9:0', 'closes': '17:30'}]"
醬醬炒烏龍,e9bf94d4-13c5-5fc8-b2c8-fa39747cd884,{'text': '<span>[本店免開統一發票] (食品業者登錄字號：N-202271463-00000-7 / 公司名稱：醬醬炒烏龍)</span>'},"['0f810b5f-2cc3-4194-b1ee-543342803048', '0f44bf3b-e6da-4449-b5bf-b49ecc69f702', '59fcf0e2-6791-49f1-a75e-5eed1b4b7d7e', '008bd1e5-0977-485e-93f9-0dea7724000a', 'd022b572-0c84-4168-8045-c1d6d88975e3']","[{'@type': 'OpeningHoursSpecification', 'dayOfWeek': 'Sunday', 'opens': '10:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '10:30', 'closes': '13:30'}, {'@type': 'OpeningHoursSpecification', 'dayOfWeek': ['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday'], 'opens': '16:30', 'closes': '19:15'}]"
